Drama Name,Overall Drama Rating (Out of 10),Actors,Viewship Rate,Genre,Director,Writer,Year,Number of Episodes,Network,Network Type
Legend of the Blue Sea,8.1,Jun Ji-hyun,17.6,Fantasy,Jin Hyuk,Park Ji-eun,2016,21,SBS,Broadcast
Legend of the Blue Sea,8.1,Jun Ji-hyun,17.6,Fantasy, Park Seon-Ho,Park Ji-eun,2016,21,SBS,Broadcast
Legend of the Blue Sea,8.1,Jun Ji-hyun,17.6,Romance,Jin Hyuk,Park Ji-eun,2016,21,SBS,Broadcast
Legend of the Blue Sea,8.1,Jun Ji-hyun,17.6,Romance, Park Seon-Ho,Park Ji-eun,2016,21,SBS,Broadcast
Legend of the Blue Sea,8.1,Jun Ji-hyun,17.6,Comedy,Jin Hyuk,Park Ji-eun,2016,21,SBS,Broadcast
Legend of the Blue Sea,8.1,Jun Ji-hyun,17.6,Comedy, Park Seon-Ho,Park Ji-eun,2016,21,SBS,Broadcast
Legend of the Blue Sea,8.1, Lee Min-ho,17.6,Fantasy,Jin Hyuk,Park Ji-eun,2016,21,SBS,Broadcast
Legend of the Blue Sea,8.1, Lee Min-ho,17.6,Fantasy, Park Seon-Ho,Park Ji-eun,2016,21,SBS,Broadcast
Legend of the Blue Sea,8.1, Lee Min-ho,17.6,Romance,Jin Hyuk,Park Ji-eun,2016,21,SBS,Broadcast
Legend of the Blue Sea,8.1, Lee Min-ho,17.6,Romance, Park Seon-Ho,Park Ji-eun,2016,21,SBS,Broadcast
Legend of the Blue Sea,8.1, Lee Min-ho,17.6,Comedy,Jin Hyuk,Park Ji-eun,2016,21,SBS,Broadcast
Legend of the Blue Sea,8.1, Lee Min-ho,17.6,Comedy, Park Seon-Ho,Park Ji-eun,2016,21,SBS,Broadcast
The Heirs,7.5,Lee Min-ho,16.7,Romance,Kang Shin-hyo,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5,Lee Min-ho,16.7,Romance, Boo Sung-chul,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5,Lee Min-ho,16.7, Drama,Kang Shin-hyo,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5,Lee Min-ho,16.7, Drama, Boo Sung-chul,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5,Lee Min-ho,16.7, Teen,Kang Shin-hyo,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5,Lee Min-ho,16.7, Teen, Boo Sung-chul,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5, Park Shin-hye,16.7,Romance,Kang Shin-hyo,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5, Park Shin-hye,16.7,Romance, Boo Sung-chul,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5, Park Shin-hye,16.7, Drama,Kang Shin-hyo,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5, Park Shin-hye,16.7, Drama, Boo Sung-chul,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5, Park Shin-hye,16.7, Teen,Kang Shin-hyo,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5, Park Shin-hye,16.7, Teen, Boo Sung-chul,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5, Kim Woo-bin,16.7,Romance,Kang Shin-hyo,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5, Kim Woo-bin,16.7,Romance, Boo Sung-chul,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5, Kim Woo-bin,16.7, Drama,Kang Shin-hyo,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5, Kim Woo-bin,16.7, Drama, Boo Sung-chul,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5, Kim Woo-bin,16.7, Teen,Kang Shin-hyo,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5, Kim Woo-bin,16.7, Teen, Boo Sung-chul,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5, Park Hyung-sik,16.7,Romance,Kang Shin-hyo,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5, Park Hyung-sik,16.7,Romance, Boo Sung-chul,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5, Park Hyung-sik,16.7, Drama,Kang Shin-hyo,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5, Park Hyung-sik,16.7, Drama, Boo Sung-chul,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5, Park Hyung-sik,16.7, Teen,Kang Shin-hyo,Kim Eun-sook,2013,20,SBS,Broadcast
The Heirs,7.5, Park Hyung-sik,16.7, Teen, Boo Sung-chul,Kim Eun-sook,2013,20,SBS,Broadcast
The King: Eternal Monarch,8.3,Lee Min-ho,7.7,Romance,Baek Sang-hoon,Kim Eun-sook,2020,16,SBS,Broadcast
The King: Eternal Monarch,8.3,Lee Min-ho,7.7,Romance, Jung Ji-hyun,Kim Eun-sook,2020,16,SBS,Broadcast
The King: Eternal Monarch,8.3,Lee Min-ho,7.7,Romance, Yoo Je-won,Kim Eun-sook,2020,16,SBS,Broadcast
The King: Eternal Monarch,8.3,Lee Min-ho,7.7, Fantasy,Baek Sang-hoon,Kim Eun-sook,2020,16,SBS,Broadcast
The King: Eternal Monarch,8.3,Lee Min-ho,7.7, Fantasy, Jung Ji-hyun,Kim Eun-sook,2020,16,SBS,Broadcast
The King: Eternal Monarch,8.3,Lee Min-ho,7.7, Fantasy, Yoo Je-won,Kim Eun-sook,2020,16,SBS,Broadcast
The King: Eternal Monarch,8.3,Lee Min-ho,7.7, Drama,Baek Sang-hoon,Kim Eun-sook,2020,16,SBS,Broadcast
The King: Eternal Monarch,8.3,Lee Min-ho,7.7, Drama, Jung Ji-hyun,Kim Eun-sook,2020,16,SBS,Broadcast
The King: Eternal Monarch,8.3,Lee Min-ho,7.7, Drama, Yoo Je-won,Kim Eun-sook,2020,16,SBS,Broadcast
The King: Eternal Monarch,8.3, Kim Go-eun,7.7,Romance,Baek Sang-hoon,Kim Eun-sook,2020,16,SBS,Broadcast
The King: Eternal Monarch,8.3, Kim Go-eun,7.7,Romance, Jung Ji-hyun,Kim Eun-sook,2020,16,SBS,Broadcast
The King: Eternal Monarch,8.3, Kim Go-eun,7.7,Romance, Yoo Je-won,Kim Eun-sook,2020,16,SBS,Broadcast
The King: Eternal Monarch,8.3, Kim Go-eun,7.7, Fantasy,Baek Sang-hoon,Kim Eun-sook,2020,16,SBS,Broadcast
